marlon_luck,marly_luck,marlon_skill,marly_skill,marlon_chip,marly_chip,marlon_gain,marly_gain
134.7474747,-134.7474747,65.25252525,-65.25252525,20200,19800,200,-200
136.7676768,-136.7676768,1663.232323,-1663.232323,21800,18200,1800,-1800
-100,100,-200,200,19700,20300,-300,300
100,-100,0,0,20100,19900,100,-100
-100,100,-200,200,19700,20300,-300,300
-107.979798,107.979798,-492.020202,492.020202,19400,20600,-600,600
-428.3661616,428.3661616,-1671.633838,1671.633838,17900,22100,-2100,2100
276.6666667,-276.6666667,1523.333333,-1523.333333,21800,18200,1800,-1800
100,-100,0,0,20100,19900,100,-100
-100,100,-200,200,19700,20300,-300,300
-244.040404,244.040404,-355.959596,355.959596,19400,20600,-600,600
44.14141414,-44.14141414,-44.14141414,44.14141414,20000,20000,0,0
-2.66E-15,2.66E-15,0,0,20000,20000,0,0
398.3838384,-398.3838384,1401.616162,-1401.616162,21800,18200,1800,-1800
100,-100,2600,-2600,22700,17300,2700,-2700
-100,100,0,0,19900,20100,-100,100
153.1313131,-153.1313131,446.8686869,-446.8686869,20600,19400,600,-600
-235.7575758,235.7575758,-364.2424242,364.2424242,19400,20600,-600,600
146.969697,-146.969697,53.03030303,-53.03030303,20200,19800,200,-200
275.7575758,-275.7575758,1524.242424,-1524.242424,21800,18200,1800,-1800
-100,100,-200,200,19700,20300,-300,300
-100,100,-200,200,19700,20300,-300,300
-100,100,-200,200,19700,20300,-300,300
114.3434343,-114.3434343,85.65656566,-85.65656566,20200,19800,200,-200
-100,100,0,0,19900,20100,-100,100
-145.8585859,145.8585859,-1654.141414,1654.141414,18200,21800,-1800,1800
100,-100,0,0,20100,19900,100,-100
100,-100,200,-200,20300,19700,300,-300
100,-100,200,-200,20300,19700,300,-300
100,-100,800,-800,20900,19100,900,-900
127.2727273,-127.2727273,772.7272727,-772.7272727,20900,19100,900,-900
-100,100,-200,200,19700,20300,-300,300
227.2727273,-227.2727273,72.72727273,-72.72727273,20300,19700,300,-300
100,-100,200,-200,20300,19700,300,-300
190.9090909,-190.9090909,109.0909091,-109.0909091,20300,19700,300,-300
100,-100,200,-200,20300,19700,300,-300
106.4646465,-106.4646465,2593.535354,-2593.535354,22700,17300,2700,-2700
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
100,-100,800,-800,20900,19100,900,-900
136.3636364,-136.3636364,763.6363636,-763.6363636,20900,19100,900,-900
-100,100,-200,200,19700,20300,-300,300
-100,100,0,0,19900,20100,-100,100
-100,100,-200,200,19700,20300,-300,300
-187.4747475,187.4747475,-412.5252525,412.5252525,19400,20600,-600,600
154.5454545,-154.5454545,145.4545455,-145.4545455,20300,19700,300,-300
