"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","pff"
"406",331.414141414141,-331.414141414141,1468.58585858586,-1468.58585858586,21800,18200,10
"407",184.646464646465,-184.646464646465,1615.35353535354,-1615.35353535354,21800,18200,10
"408",-151.414141414141,151.414141414141,-448.585858585859,448.585858585859,19400,20600,10
"409",-993.535353535353,993.535353535353,-806.464646464646,806.464646464646,18200,21800,10
"410",-100,100,-200,200,19700,20300,10
"411",-107.070707070707,107.070707070707,-92.9292929292929,92.9292929292929,19800,20200,10
"412",-100,100,-200,200,19700,20300,10
"413",-227.272727272727,227.272727272727,-672.727272727273,672.727272727273,19100,20900,10
"414",-236.363636363636,236.363636363636,-63.6363636363637,63.6363636363637,19700,20300,10
"415",-327.272727272727,327.272727272727,27.2727272727273,-27.2727272727273,19700,20300,10
"416",449.494949494949,-449.494949494949,2250.50505050505,-2250.50505050505,22700,17300,10
"417",-100,100,0,0,19900,20100,10
"418",130.909090909091,-130.909090909091,69.0909090909091,-69.0909090909091,20200,19800,10
"419",130.10101010101,-130.10101010101,469.89898989899,-469.89898989899,20600,19400,10
"420",-100,100,0,0,19900,20100,10
"421",134.545454545455,-134.545454545455,465.454545454545,-465.454545454545,20600,19400,10
"422",-145.757575757576,145.757575757576,-454.242424242424,454.242424242424,19400,20600,10
"423",-154.545454545455,154.545454545455,-145.454545454545,145.454545454545,19700,20300,10
"424",-100,100,-200,200,19700,20300,10
"425",129.49494949495,-129.49494949495,2570.50505050505,-2570.50505050505,22700,17300,10
"426",100,-100,0,0,20100,19900,10
