"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","pff"
"59",-77.6262626262626,79.5929292929293,-19922.3737373737,19920.4070707071,0,40000,7
"60",69.8989898989899,-69.8989898989899,30.1010101010101,-30.1010101010101,20100,19900,4
"61",-76.1616161616162,76.1616161616162,-23.8383838383838,23.8383838383838,19900,20100,5
"62",-136.767676767677,136.767676767677,-19863.2323232323,19863.2323232323,0,40000,7
"63",-292.121212121212,292.121212121212,-19707.8787878788,19707.8787878788,0,40000,9
"64",-118.181818181818,118.181818181818,118.181818181818,-118.181818181818,20000,20000,10
"65",-100,100,-100,100,19800,20200,10
"66",-355.959595959596,355.959595959596,-1444.0404040404,1444.0404040404,18200,21800,10
"67",50.7070707070707,-50.7070707070707,49.2929292929293,-49.2929292929293,20100,19900,4
"68",273.131313131313,-273.131313131313,-73.1313131313131,73.1313131313131,20200,19800,10
"69",-329.49494949495,329.49494949495,-19670.505050505,19670.505050505,0,40000,9
"70",70.7070707070707,-70.7070707070707,29.2929292929293,-29.2929292929293,20100,19900,4
"71",1609.39393939394,-1609.39393939394,2790.60606060606,-2790.60606060606,24400,15600,10
"72",-13.1313131313131,13.1313131313131,-86.8686868686869,86.8686868686869,19900,20100,5
"73",2022.22222222222,-2022.22222222222,-22022.2222222222,22022.2222222222,0,40000,7
"74",-1.77635683940025e-15,1.77635683940025e-15,0,0,20000,20000,10
"75",-37.7777777777778,37.7777777777778,-19962.2222222222,19962.2222222222,0,40000,5
"76",100,-100,0,0,20100,19900,8
"77",-100,100,0,0,19900,20100,10
"78",-227.248484848485,227.248484848485,-19772.7515151515,19772.7515151515,0,40000,7
"79",-132.323232323232,132.323232323232,-467.676767676768,467.676767676768,19400,20600,10
"80",-330.50505050505,330.50505050505,-19669.494949495,19669.494949495,0,40000,9
"81",-100,100,0,0,19900,20100,10
"82",-147.373737373737,147.373737373737,-2552.62626262626,2552.62626262626,17300,22700,10
"83",-35.7575757575758,35.7575757575757,-64.2424242424242,64.2424242424242,19900,20100,5
"84",83.6363636363636,-83.6363636363636,116.363636363636,-116.363636363636,20200,19800,6
"85",-385.050505050505,385.050505050505,-214.949494949495,214.949494949495,19400,20600,10
"86",-44.4444444444444,44.4444444444444,-55.5555555555556,55.5555555555556,19900,20100,5
"87",-100,100,0,0,19900,20100,10
"88",-241.010101010101,241.010101010101,-6358.9898989899,6358.9898989899,13400,26600,10
"89",-154.545454545455,154.545454545455,-145.454545454545,145.454545454545,19700,20300,10
"90",-149.393939393939,149.393939393939,-19850.6060606061,19850.6060606061,0,40000,9
"91",-100,100,0,0,19900,20100,10
"92",87.2727272727273,-87.2727272727273,12.7272727272727,-12.7272727272727,20100,19900,4
"93",-103.232323232323,103.232323232323,-19896.7676767677,19896.7676767677,0,40000,9
"94",100,-100,0,0,20100,19900,6
"95",46.060606060606,-46.060606060606,53.939393939394,-53.939393939394,20100,19900,4
"96",93.7373737373737,-93.7373737373737,6.26262626262626,-6.26262626262626,20100,19900,4
"97",-34.6,34.6,-65.4,65.4,19900,20100,3
"98",-100,100,0,0,19900,20100,10
"99",100,-100,0,0,20100,19900,10
"100",137.171717171717,-137.171717171717,262.828282828283,-262.828282828283,20400,19600,10
"101",-73.1313131313131,73.1313131313131,-26.8686868686869,26.8686868686869,19900,20100,5
"102",100,-100,0,0,20100,19900,8
"103",8.28282828282827,-8.28282828282827,91.7171717171717,-91.7171717171717,20100,19900,4
"104",-53.9393939393939,53.9393939393939,-46.0606060606061,46.0606060606061,19900,20100,5
"105",-30.3,30.3,-69.7,69.7,19900,20100,3
"106",-168.484848484848,168.484848484848,-31.5151515151515,31.5151515151515,19800,20200,10
"107",-100,100,0,0,19900,20100,10
"108",3217.4,-3217.4,3616.6,-3616.6,26834,13166,10
"109",54.5454545454545,-54.5454545454545,45.4545454545455,-45.4545454545455,20100,19900,6
"110",-67.0707070707071,67.0707070707071,-19932.9292929293,19932.9292929293,0,40000,5
"111",-1.77635683940025e-15,-1.77635683940025e-15,100,-100,20100,19900,6
"112",58.1818181818182,-58.1818181818182,41.8181818181818,-41.8181818181818,20100,19900,4
"113",-3.99680288865056e-15,7.105427357601e-15,0,0,20000,20000,10
"114",148.585858585859,-148.585858585859,451.414141414141,-451.414141414141,20600,19400,10
"115",2479.19595959596,-2479.19595959596,-22479.195959596,22479.195959596,0,40000,9
"116",-72.7272727272727,72.7272727272727,172.727272727273,-172.727272727273,20100,19900,6
"117",-82.4242424242424,82.4242424242424,-19917.5757575758,19917.5757575758,0,40000,5
"118",52.5252525252525,-52.5252525252525,47.4747474747475,-47.4747474747475,20100,19900,4
"119",-100,100,-200,200,19700,20300,10
"120",254.848484848485,-254.848484848485,345.151515151515,-345.151515151515,20600,19400,10
"121",-2264.34545454545,2264.34545454545,-4569.65454545454,4569.65454545455,13166,26834,10
"122",-69.2929292929293,69.2929292929293,-30.7070707070707,30.7070707070707,19900,20100,5
"123",90.9090909090909,-90.9090909090909,-20090.9090909091,20090.9090909091,0,40000,9
"124",-156.565656565657,156.565656565657,-443.434343434343,443.434343434343,19400,20600,10
"125",55.8585858585858,-55.8585858585858,44.1414141414141,-44.1414141414141,20100,19900,4
